surrogate,sample_id,speaker_id,ground_truth_emotion,target_emotion,whitebox_success,adv_audio_path,original_audio_path,wav_exists,snr_db
voxtral_en,00200_0011_angry_0011_000686,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00200_0011_angry_0011_000686.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000686.wav,True,31.610554277009225
voxtral_en,00201_0011_angry_0011_000377,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00201_0011_angry_0011_000377.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000377.wav,True,20.06139548819988
voxtral_en,00202_0011_angry_0011_000496,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00202_0011_angry_0011_000496.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000496.wav,True,25.82261737602842
voxtral_en,00203_0011_angry_0011_000516,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00203_0011_angry_0011_000516.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000516.wav,True,26.727034022303048
voxtral_en,00204_0011_angry_0011_000556,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00204_0011_angry_0011_000556.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000556.wav,True,25.781854334612895
voxtral_en,00206_0011_angry_0011_000612,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00206_0011_angry_0011_000612.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000612.wav,True,31.347280284231115
voxtral_en,00207_0011_angry_0011_000611,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00207_0011_angry_0011_000611.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000611.wav,True,28.855576003245808
voxtral_en,00208_0011_angry_0011_000578,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00208_0011_angry_0011_000578.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000578.wav,True,32.0951410610464
voxtral_en,00209_0011_angry_0011_000700,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00209_0011_angry_0011_000700.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000700.wav,True,25.871354860498638
voxtral_en,00210_0011_angry_0011_000663,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00210_0011_angry_0011_000663.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000663.wav,True,23.30508197711033
voxtral_en,00211_0011_angry_0011_000379,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00211_0011_angry_0011_000379.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000379.wav,True,22.269111107003813
voxtral_en,00212_0011_angry_0011_000671,0011,angry,happy,True,C:\Users\potte\Desktop\research\emotional LLM\code\white_box_voxtral\result\Voxtral_EN\0011\00212_0011_angry_0011_000671.wav,/data1/lixiang/OpenS2S_dataset/ESD/EN/0011/Angry/0011_000671.wav,True,24.553196420951885
